Date,Precipitacion,Temperatura_Minima,Temperatura_Maxima,Int._del_Viento
2018-03-22,0,"10,7",31,"4,3"
2018-03-23,0,"13,4","29,2",5
2018-03-24,"0,6","6,6","20,7","7,6"
2018-03-25,0,"0,2","23,8","2,8"
2018-03-26,0,"3,5","24,9","4,3"
2018-03-27,0,"6,9","29,2",4
2018-03-28,0,0,"31,5","3,9"
2018-03-29,0,"15,1","33,2","3,3"
2018-03-30,0,0,"34,3","3,7"
2018-03-31,2,"13,7","30,7","3,5"
2018-04-01,"1,9","16,4","20,8","2,9"
2018-04-02,0,"12,7",24,"3,9"
2018-04-03,0,10,"30,3","1,9"
2018-04-04,0,"14,7","33,3","3,8"
2018-04-05,"2,3",12,"25,2","4,2"
2018-04-06,"2,4","8,7",14,"2,1"
2018-04-07,0,"12,2",17,"3,4"
2018-04-08,"0,2","15,7",24,"2,9"
2018-04-09,"0,1","15,8","28,9","5,9"
2018-04-10,0,"16,6","31,7","2,2"
2018-04-11,0,"16,9","30,3","3,1"
2018-04-12,0,"3,2","18,3","5,8"
2018-04-13,0,"0,4","21,3","3,8"
2018-04-14,0,"11,2","26,1","4,5"
2018-04-15,0,"9,8","28,2","6,1"
2018-04-16,0,"12,8","28,9","7,4"
2018-04-17,0,15,"28,6","2,6"
2018-04-18,0,"11,8","29,1","2,6"
2018-04-19,"36,1","14,5","29,6",7
2018-04-20,"0,2","12,1","28,4",2
2018-04-21,0,"12,3",31,"5,1"
2018-04-22,0,"16,2","30,5","6,9"
2018-04-23,0,"14,3","20,6","4,5"
2018-04-24,"2,7","15,2","22,9","3,2"
2018-04-25,0,"17,5","25,1","3,9"
2018-04-26,0,"19,9","30,8","6,8"
2018-04-27,0,"15,5","25,2","6,5"
2018-04-28,0,13,"17,2","2,8"
2018-04-29,0,"13,2",17,"2,6"
2018-04-30,"1,9","10,8","14,7","4,4"
2018-05-01,"0,1",11,"14,2","3,6"
2018-05-02,"0,3","12,3","19,9",4
2018-05-03,"0,5",13,"15,5","2,6"
2018-05-04,3,"13,6","15,9","2,7"
2018-05-05,"1,1","11,2","15,9","2,1"
2018-05-06,0,"13,4","24,9","4,1"
2018-05-07,0,"15,3","25,3","5,1"
2018-05-08,"0,6",15,"18,8","2,6"
2018-05-09,"1,8","12,9",15,"2,2"
2018-05-10,"15,3","9,9","18,7","1,8"
2018-05-11,"0,3","7,4","21,7","2,5"
2018-05-12,"0,1","4,1","24,8","4,7"
2018-05-13,0,"6,9","23,9","5,6"
2018-05-14,0,"9,5","22,1","4,1"
2018-05-15,0,"10,4","14,8","2,5"
2018-05-16,0,"8,5","17,7","3,4"
2018-05-17,0,"6,4","18,9","2,2"
2018-05-18,0,"3,9",18,"2,4"
2018-05-19,0,"2,3","18,4","2,1"
2018-05-20,0,"2,8","23,3","3,1"
2018-05-21,0,"3,4","17,2","1,7"
2018-05-22,0,"3,5","21,4","1,6"
2018-05-23,0,"4,3",22,"3,4"
2018-05-24,0,"3,6","22,5",4
2018-05-25,0,"4,4","23,5","3,9"
2018-05-26,0,"8,8","23,9",4
2018-05-27,0,0,"23,8","2,9"
2018-05-28,0,"7,8","22,8",2
2018-05-29,0,"12,2","20,3","2,4"
2018-05-30,0,"6,9","11,6","2,2"
2018-05-31,19,5,"6,5","5,6"
